id	slope	elevation	tpi	twi	coarse	stream
1	5.409361	517.2246	15.87869	-0.13311	13.46452	42.3766
2	4.846739	584.8145	20.45134	0.129688	14.40061	46.3886
3	3.92177	542.6637	25.66871	-0.14729	13.87805	4.1233
4	5.410428	560.277	13.85191	0.075786	14.90411	49.677
5	3.900732	553.8167	18.96174	0.158351	14.65441	44.5793
6	4.688583	588.2513	16.54953	-0.33726	15.25	15.8498
7	1.684557	430.0556	37.24195	1.18451	10.14458	82.8566
8	2.111083	445.7348	27.8939	1.0517	11.35385	61.3973
9	3.769247	497.0278	17.94172	0.033983	14.20225	31.5337
10	3.89008	475.4497	15.71319	0.991388	13.67308	88.5715
11	3.555388	511.4358	26.32486	0.279328	13.76216	37.9809
12	4.088971	456.5478	23.50023	0.842696	11.01648	43.7493
13	7.090708	498.7371	16.03923	0.145421	13.97241	70.539
14	1.661184	238.9158	25.259	1.19142	7.028037	31.3557
15	4.881845	578.2012	19.2652	0.463021	13.78125	69.4625
16	2.010402	380.5926	26.17761	1.103199	8.780702	66.4565
17	3.261086	373.3458	27.86748	0.690916	9.194444	60.5383
18	2.892725	355.1113	27.14999	0.542436	9.102857	32.6662
19	3.558887	684.9531	24.13514	0.055258	12.6413	20.6159
20	3.83654	652.6117	26.48089	0.729592	13.31481	74.4624
21	5.566481	586.4414	16.33036	-0.17316	14.3913	36.0642
22	5.902826	580.6607	18.56705	-0.37668	15.13462	58.7567
23	4.173494	594.1479	24.50114	0.449008	11.85714	46.7611
24	3.357138	478.678	25.86428	1.076913	12.53774	68.7421
25	2.735017	520.8407	20.35803	0.807979	11.66129	41.294
26	5.094365	462.5063	22.83803	0.782747	13.82119	71.42
27	7.681431	516.5333	11.74747	-0.05194	14.97674	61.2865
28	5.495747	520.7542	21.11133	0.546101	13.97101	67.1557
29	7.18307	482.6378	14.56895	0.408649	15.24561	95.9145
30	2.030871	392.3752	33.19001	1.441662	9.954839	88.2949
31	5.213469	598.7533	19.48146	0.608899	14.0596	70.7867
32	3.288542	415.6702	28.16738	0.922237	10.56458	70.787
33	4.242054	426.5679	29.91138	1.10637	12.04615	95.586
34	11.84867	401.6656	17.63445	0.554512	14.3815	78.741
35	7.223677	509.0893	14.74166	0.449829	13.61589	77.1507
36	8.735992	494.437	15.27387	0.197703	13.94595	63.4324
37	1.918094	388.5484	34.10944	2.009718	8.915493	70.1688
38	2.457988	437.2242	28.56649	0.844176	8.593156	68.4373
39	2.727329	422.1372	30.10965	1.111138	9.006645	64.9498
40	4.005375	514.7397	20.91046	0.828507	10.35211	59.4943
41	3.768587	497.916	16.4042	0.480202	12.12329	39.0753
42	3.149686	516.0605	27.57035	0.816252	11.66102	69.8977
43	8.559188	595.2943	9.105412	-1.12866	14.29496	18.4254
44	2.370351	416.9384	36.7493	1.242494	10.28928	65.9614
45	1.565782	398.8024	38.58022	2.193677	8.899471	87.823
46	4.19151	523.2536	23.80109	0.421538	11.5493	65.3724
47	5.218013	526.1007	21.77743	0.876286	12.28421	65.4498
48	4.29607	552.8537	26.63808	0.686097	13.15625	60.3759
49	3.331638	572.1351	28.06934	0.27351	13.23504	52.4419
50	4.272398	618.601	24.50242	0.384262	13.81081	60.5712
51	4.010682	599.1757	25.46115	0.541275	14.38147	67.7409
52	4.715727	673.2874	19.13919	-0.33343	15.13187	16.3428
53	4.663195	621.8875	16.64552	0.307575	14.48864	49.3006
54	5.317391	649.0211	13.22433	-0.48739	15.30952	8.345
55	4.697393	575.4334	20.11203	-0.07063	13.25472	68.1477
56	3.058476	449.7379	23.56709	0.816078	9.32	51.3851
57	3.831647	289.9073	16.63219	0.005957	9.876238	26.824
58	6.905732	558.9412	15.91953	-0.49261	14.69811	70.4988
59	5.285372	541.2078	22.97733	0.231376	13.43966	86.742
60	3.159671	363.34	27.92774	0.910623	10.96923	63.4051
61	3.849462	468.3291	26.08957	-0.02655	12.58889	32.1527
62	8.924538	542.7249	9.621087	-0.6558	16.01869	65.7839
63	8.371826	516.5036	7.255109	-0.19397	15.74324	66.4181
64	4.586716	431.3333	17.00059	-0.00229	12.54167	60.3608
65	7.045013	432.6313	16.26426	0.802463	12.24444	88.6599
66	4.958634	462.1674	18.93735	0.014701	13.5	47.5857
67	3.101346	482.0486	22.20349	0.403315	11.37909	47.4624
68	3.08597	419.625	21.81003	0.228874	12	43.8274
69	3.324805	394.8296	24.65816	0.451262	12.07752	53.7543
70	1.949752	220.4684	33.94624	1.718869	6.620588	57.6699
71	7.449886	576.7662	15.51132	-0.45939	15.4094	56.8567
72	10.05099	624.0268	9.267715	-0.83053	15.85115	48.8959
73	6.410947	648.3473	16.52369	0.094186	15.06579	52.9199
74	4.43137	513.2787	23.61974	-0.02903	11.95098	68.8838
75	3.336585	599.334	23.68777	0.216178	12.34307	45.5383
