slope, srtm, tpi, twi, coarse, stream, hdist
0.15,0.45,0.7,0.2,0.71,0.75,0.4818724
0.14,0.45,0.7,0.2,0.71,0.75,0.4818726
0.16,0.45,0.7,0.2,0.71,0.75,0.4818735
0.13,0.45,0.7,0.2,0.71,0.75,0.4818736
0.12,0.45,0.7,0.2,0.71,0.75,0.4818751
0.15,0.45,0.69,0.2,0.71,0.75,0.4819414
0.16,0.45,0.69,0.2,0.71,0.75,0.4819419
0.14,0.45,0.69,0.2,0.71,0.75,0.4819421
0.13,0.45,0.69,0.2,0.71,0.75,0.4819434
0.12,0.45,0.69,0.2,0.71,0.75,0.4819453
0.15,0.45,0.7,0.19,0.71,0.75,0.4819986
0.14,0.45,0.7,0.19,0.71,0.75,0.4819991
0.16,0.45,0.7,0.19,0.71,0.75,0.4819993
0.13,0.45,0.7,0.19,0.71,0.75,0.4820003
0.12,0.45,0.7,0.19,0.71,0.75,0.4820021
0.15,0.45,0.68,0.2,0.71,0.75,0.4820153
0.16,0.45,0.68,0.2,0.71,0.75,0.4820153
0.14,0.45,0.68,0.2,0.71,0.75,0.4820164
0.13,0.45,0.68,0.2,0.71,0.75,0.4820183
0.12,0.45,0.68,0.2,0.71,0.75,0.4820207
0.15,0.45,0.69,0.19,0.71,0.75,0.4820686
0.16,0.45,0.69,0.19,0.71,0.75,0.4820688
0.14,0.45,0.69,0.19,0.71,0.75,0.4820696
0.13,0.45,0.69,0.19,0.71,0.75,0.4820712
0.12,0.45,0.69,0.19,0.71,0.75,0.4820734
0.16,0.45,0.67,0.2,0.71,0.75,0.4820943
0.15,0.45,0.67,0.2,0.71,0.75,0.4820949
0.14,0.45,0.67,0.2,0.71,0.75,0.4820964
0.13,0.45,0.67,0.2,0.71,0.75,0.4820987
0.12,0.45,0.67,0.2,0.71,0.75,0.4821016
0.15,0.45,0.7,0.18,0.71,0.75,0.4821194
0.16,0.45,0.7,0.18,0.71,0.75,0.4821199
0.14,0.45,0.7,0.18,0.71,0.75,0.4821202
0.13,0.45,0.7,0.18,0.71,0.75,0.4821217
0.12,0.45,0.7,0.18,0.71,0.75,0.4821238
0.16,0.45,0.68,0.19,0.71,0.75,0.4821433
0.15,0.45,0.68,0.19,0.71,0.75,0.4821436
0.14,0.45,0.68,0.19,0.71,0.75,0.482145
0.13,0.45,0.68,0.19,0.71,0.75,0.4821472
0.12,0.45,0.68,0.19,0.71,0.75,0.4821499
0.16,0.45,0.66,0.2,0.71,0.75,0.4821788
0.15,0.45,0.66,0.2,0.71,0.75,0.4821798
0.14,0.45,0.66,0.2,0.71,0.75,0.4821819
0.13,0.45,0.66,0.2,0.71,0.75,0.4821848
0.12,0.45,0.66,0.2,0.71,0.75,0.4821883
0.15,0.45,0.69,0.18,0.71,0.75,0.4821904
0.16,0.45,0.69,0.18,0.71,0.75,0.4821904
0.14,0.45,0.69,0.18,0.71,0.75,0.4821917
0.13,0.45,0.69,0.18,0.71,0.75,0.4821936
0.12,0.45,0.69,0.18,0.71,0.75,0.4821961
0.16,0.45,0.67,0.19,0.71,0.75,0.4822235
0.15,0.45,0.67,0.19,0.71,0.75,0.4822243
0.14,0.45,0.67,0.19,0.71,0.75,0.4822261
0.13,0.45,0.67,0.19,0.71,0.75,0.4822287
0.12,0.45,0.67,0.19,0.71,0.75,0.4822318
0.15,0.45,0.7,0.17,0.71,0.75,0.4822348
0.16,0.45,0.7,0.17,0.71,0.75,0.4822349
0.14,0.45,0.7,0.17,0.71,0.75,0.4822358
0.13,0.45,0.7,0.17,0.71,0.75,0.4822376
0.12,0.45,0.7,0.17,0.71,0.75,0.4822399
0.16,0.45,0.68,0.18,0.71,0.75,0.482266
0.15,0.45,0.68,0.18,0.71,0.75,0.4822666
0.14,0.45,0.68,0.18,0.71,0.75,0.4822682
0.16,0.45,0.65,0.2,0.71,0.75,0.4822682
0.15,0.45,0.65,0.2,0.71,0.75,0.4822699
0.13,0.45,0.68,0.18,0.71,0.75,0.4822706
0.14,0.45,0.65,0.2,0.71,0.75,0.4822725
0.12,0.45,0.68,0.18,0.71,0.75,0.4822736
0.13,0.45,0.65,0.2,0.71,0.75,0.4822759
0.12,0.45,0.65,0.2,0.71,0.75,0.4822801
0.16,0.45,0.69,0.17,0.71,0.75,0.4823065
0.15,0.45,0.69,0.17,0.71,0.75,0.4823068
0.14,0.45,0.69,0.17,0.71,0.75,0.4823083
0.16,0.45,0.66,0.19,0.71,0.75,0.4823091
0.15,0.45,0.66,0.19,0.71,0.75,0.4823104
0.13,0.45,0.69,0.17,0.71,0.75,0.4823105
0.14,0.45,0.66,0.19,0.71,0.75,0.4823128
0.12,0.45,0.69,0.17,0.71,0.75,0.4823132
0.13,0.45,0.66,0.19,0.71,0.75,0.4823159
0.12,0.45,0.66,0.19,0.71,0.75,0.4823198
0.16,0.45,0.7,0.16,0.71,0.75,0.4823444
0.15,0.45,0.7,0.16,0.71,0.75,0.4823445
0.14,0.45,0.7,0.16,0.71,0.75,0.4823458
0.16,0.45,0.67,0.18,0.71,0.75,0.4823473
0.13,0.45,0.7,0.16,0.71,0.75,0.4823478
0.15,0.45,0.67,0.18,0.71,0.75,0.4823484
0.12,0.45,0.7,0.16,0.71,0.75,0.4823503
0.14,0.45,0.67,0.18,0.71,0.75,0.4823505
0.13,0.45,0.67,0.18,0.71,0.75,0.4823533
0.12,0.45,0.67,0.18,0.71,0.75,0.4823567
0.16,0.45,0.68,0.17,0.71,0.75,0.4823831
0.15,0.45,0.68,0.17,0.71,0.75,0.482384
0.14,0.45,0.68,0.17,0.71,0.75,0.4823859
0.13,0.45,0.68,0.17,0.71,0.75,0.4823885
0.12,0.45,0.68,0.17,0.71,0.75,0.4823917
0.16,0.45,0.65,0.19,0.71,0.75,0.4823997
0.15,0.45,0.65,0.19,0.71,0.75,0.4824017
0.14,0.45,0.65,0.19,0.71,0.75,0.4824046
0.13,0.45,0.65,0.19,0.71,0.75,0.4824084
0.12,0.45,0.65,0.19,0.71,0.75,0.4824129
0.16,0.45,0.69,0.16,0.71,0.75,0.4824169
0.15,0.45,0.69,0.16,0.71,0.75,0.4824175
0.14,0.45,0.69,0.16,0.71,0.75,0.4824193
0.13,0.45,0.69,0.16,0.71,0.75,0.4824217
0.12,0.45,0.69,0.16,0.71,0.75,0.4824246
0.16,0.45,0.66,0.18,0.71,0.75,0.482434
0.15,0.45,0.66,0.18,0.71,0.75,0.4824356
0.14,0.45,0.66,0.18,0.71,0.75,0.4824382
0.13,0.45,0.66,0.18,0.71,0.75,0.4824417
0.12,0.45,0.66,0.18,0.71,0.75,0.4824458
0.16,0.45,0.7,0.15,0.71,0.75,0.482448
0.15,0.45,0.7,0.15,0.71,0.75,0.4824483
0.14,0.45,0.7,0.15,0.71,0.75,0.4824499
0.13,0.45,0.7,0.15,0.71,0.75,0.4824521
0.12,0.45,0.7,0.15,0.71,0.75,0.4824549
0.16,0.45,0.67,0.17,0.71,0.75,0.4824654
0.15,0.45,0.67,0.17,0.71,0.75,0.4824669
0.14,0.45,0.67,0.17,0.71,0.75,0.4824692
0.13,0.45,0.67,0.17,0.71,0.75,0.4824723
0.12,0.45,0.67,0.17,0.71,0.75,0.4824759
0.16,0.45,0.68,0.16,0.71,0.75,0.4824945
0.15,0.45,0.68,0.16,0.71,0.75,0.4824956
0.14,0.45,0.68,0.16,0.71,0.75,0.4824978
0.13,0.45,0.68,0.16,0.71,0.75,0.4825007
0.12,0.45,0.68,0.16,0.71,0.75,0.4825041
0.16,0.45,0.69,0.15,0.71,0.75,0.4825215
0.15,0.45,0.69,0.15,0.71,0.75,0.4825224
0.14,0.45,0.69,0.15,0.71,0.75,0.4825244
0.16,0.45,0.65,0.18,0.71,0.75,0.4825256
0.13,0.45,0.69,0.15,0.71,0.75,0.482527
0.15,0.45,0.65,0.18,0.71,0.75,0.482528
0.12,0.45,0.69,0.15,0.71,0.75,0.4825302
0.14,0.45,0.65,0.18,0.71,0.75,0.4825312
0.13,0.45,0.65,0.18,0.71,0.75,0.4825353
0.12,0.45,0.65,0.18,0.71,0.75,0.4825401
0.16,0.45,0.66,0.17,0.71,0.75,0.4825533
0.15,0.45,0.66,0.17,0.71,0.75,0.4825552
0.14,0.45,0.66,0.17,0.71,0.75,0.4825581
0.13,0.45,0.66,0.17,0.71,0.75,0.4825619
0.12,0.45,0.66,0.17,0.71,0.75,0.4825662
0.16,0.45,0.67,0.16,0.71,0.75,0.4825778
0.15,0.45,0.67,0.16,0.71,0.75,0.4825796
0.14,0.45,0.67,0.16,0.71,0.75,0.4825822
0.13,0.45,0.67,0.16,0.71,0.75,0.4825856
0.12,0.45,0.67,0.16,0.71,0.75,0.4825895
0.16,0.45,0.68,0.15,0.71,0.75,0.4826
0.15,0.45,0.68,0.15,0.71,0.75,0.4826015
0.14,0.45,0.68,0.15,0.71,0.75,0.4826039
0.13,0.45,0.68,0.15,0.71,0.75,0.4826071
0.16,0.46,0.7,0.2,0.71,0.75,0.4826102
0.12,0.45,0.68,0.15,0.71,0.75,0.4826107
0.15,0.46,0.7,0.2,0.71,0.75,0.4826107
0.14,0.46,0.7,0.2,0.71,0.75,0.4826122
0.13,0.46,0.7,0.2,0.71,0.75,0.4826144
0.12,0.46,0.7,0.2,0.71,0.75,0.4826171
0.16,0.45,0.65,0.17,0.71,0.75,0.4826461
0.15,0.45,0.65,0.17,0.71,0.75,0.4826488
0.14,0.45,0.65,0.17,0.71,0.75,0.4826523
0.13,0.45,0.65,0.17,0.71,0.75,0.4826566
0.12,0.45,0.65,0.17,0.71,0.75,0.4826616
0.16,0.45,0.66,0.16,0.71,0.75,0.4826668
0.15,0.45,0.66,0.16,0.71,0.75,0.4826691
0.14,0.45,0.66,0.16,0.71,0.75,0.4826723
0.13,0.45,0.66,0.16,0.71,0.75,0.4826763
0.12,0.45,0.66,0.16,0.71,0.75,0.4826809
0.16,0.45,0.67,0.15,0.71,0.75,0.4826844
0.16,0.46,0.69,0.2,0.71,0.75,0.4826848
0.15,0.46,0.69,0.2,0.71,0.75,0.4826858
0.15,0.45,0.67,0.15,0.71,0.75,0.4826864
0.14,0.46,0.69,0.2,0.71,0.75,0.4826877
0.14,0.45,0.67,0.15,0.71,0.75,0.4826893
0.13,0.46,0.69,0.2,0.71,0.75,0.4826903
0.13,0.45,0.67,0.15,0.71,0.75,0.4826929
0.12,0.46,0.69,0.2,0.71,0.75,0.4826934
0.12,0.45,0.67,0.15,0.71,0.75,0.4826971
0.16,0.46,0.7,0.19,0.71,0.75,0.4827364
0.15,0.46,0.7,0.19,0.71,0.75,0.4827372
0.14,0.46,0.7,0.19,0.71,0.75,0.482739
0.13,0.46,0.7,0.19,0.71,0.75,0.4827415
0.12,0.46,0.7,0.19,0.71,0.75,0.4827444
0.16,0.45,0.7,0.2,0.72,0.75,0.4827485
0.15,0.45,0.7,0.2,0.72,0.75,0.4827494
0.14,0.45,0.7,0.2,0.72,0.75,0.4827512
0.13,0.45,0.7,0.2,0.72,0.75,0.4827536
0.12,0.45,0.7,0.2,0.72,0.75,0.4827564
0.16,0.45,0.65,0.16,0.71,0.75,0.4827609
0.15,0.45,0.65,0.16,0.71,0.75,0.4827638
0.16,0.46,0.68,0.2,0.71,0.75,0.4827645
0.15,0.46,0.68,0.2,0.71,0.75,0.4827661
0.14,0.45,0.65,0.16,0.71,0.75,0.4827676
0.14,0.46,0.68,0.2,0.71,0.75,0.4827686
0.13,0.46,0.68,0.2,0.71,0.75,0.4827717
0.13,0.45,0.65,0.16,0.71,0.75,0.4827721
0.16,0.45,0.66,0.15,0.71,0.75,0.4827744
0.12,0.46,0.68,0.2,0.71,0.75,0.4827753
0.15,0.45,0.66,0.15,0.71,0.75,0.4827769
0.12,0.45,0.65,0.16,0.71,0.75,0.4827774
0.14,0.45,0.66,0.15,0.71,0.75,0.4827804
0.13,0.45,0.66,0.15,0.71,0.75,0.4827846
0.12,0.45,0.66,0.15,0.71,0.75,0.4827895
0.16,0.46,0.69,0.19,0.71,0.75,0.4828121
0.15,0.46,0.69,0.19,0.71,0.75,0.4828134
0.14,0.46,0.69,0.19,0.71,0.75,0.4828157
0.13,0.46,0.69,0.19,0.71,0.75,0.4828185
0.12,0.46,0.69,0.19,0.71,0.75,0.4828219
0.16,0.45,0.69,0.2,0.72,0.75,0.4828244
0.15,0.45,0.69,0.2,0.72,0.75,0.4828258
0.14,0.45,0.69,0.2,0.72,0.75,0.482828
0.13,0.45,0.69,0.2,0.72,0.75,0.4828307
0.12,0.45,0.69,0.2,0.72,0.75,0.4828341
0.16,0.46,0.67,0.2,0.71,0.75,0.4828498
0.15,0.46,0.67,0.2,0.71,0.75,0.4828519
0.14,0.46,0.67,0.2,0.71,0.75,0.4828549
0.16,0.46,0.7,0.18,0.71,0.75,0.4828573
0.15,0.46,0.7,0.18,0.71,0.75,0.4828584
0.13,0.46,0.67,0.2,0.71,0.75,0.4828587
0.14,0.46,0.7,0.18,0.71,0.75,0.4828605
0.12,0.46,0.67,0.2,0.71,0.75,0.4828628
0.13,0.46,0.7,0.18,0.71,0.75,0.4828632
0.12,0.46,0.7,0.18,0.71,0.75,0.4828664
0.16,0.45,0.65,0.15,0.71,0.75,0.4828695
0.15,0.45,0.65,0.15,0.71,0.75,0.4828728
0.16,0.45,0.7,0.19,0.72,0.75,0.4828745
