slope, srtm, tpi, twi, coarse, stream, hdist
0.22, 0.1, 0.7, 0.17, 1, 0.89, 0.4812804
0.22, 0.1, 0.7, 0.17, 1, 0.9, 0.4801992
0.22, 0.1, 0.7, 0.17, 1, 0.91, 0.4791183
0.22, 0.1, 0.7, 0.17, 1, 0.92, 0.4780394
0.22, 0.1, 0.7, 0.17, 1, 0.93, 0.4787851
0.22, 0.1, 0.7, 0.18, 1, 0.89, 0.4811894
0.22, 0.1, 0.7, 0.18, 1, 0.9, 0.4801097
0.22, 0.1, 0.7, 0.18, 1, 0.91, 0.4790306
0.22, 0.1, 0.7, 0.18, 1, 0.92, 0.4779533
0.22, 0.1, 0.7, 0.18, 1, 0.93, 0.4790108
0.22, 0.1, 0.7, 0.19, 1, 0.89, 0.4810939
0.22, 0.1, 0.7, 0.19, 1, 0.9, 0.4800159
0.22, 0.1, 0.7, 0.19, 1, 0.91, 0.4789386
0.22, 0.1, 0.7, 0.19, 1, 0.92, 0.4779717
0.22, 0.1, 0.7, 0.19, 1, 0.93, 0.4792487
0.22, 0.1, 0.7, 0.2, 1, 0.89, 0.480994
0.22, 0.1, 0.7, 0.2, 1, 0.9, 0.4799178
0.22, 0.1, 0.7, 0.2, 1, 0.91, 0.4788424
0.22, 0.1, 0.7, 0.2, 1, 0.92, 0.4782283
0.22, 0.1, 0.7, 0.2, 1, 0.93, 0.4794987
0.22, 0.1, 0.71, 0.17, 1, 0.89, 0.4814302
0.22, 0.1, 0.71, 0.17, 1, 0.9, 0.4804443
0.22, 0.1, 0.71, 0.17, 1, 0.91, 0.4794585
0.22, 0.1, 0.71, 0.17, 1, 0.92, 0.4784758
0.22, 0.1, 0.71, 0.17, 1, 0.93, 0.4785317
0.22, 0.1, 0.71, 0.18, 1, 0.89, 0.4813513
0.22, 0.1, 0.71, 0.18, 1, 0.9, 0.4803669
0.22, 0.1, 0.71, 0.18, 1, 0.91, 0.4793827
0.22, 0.1, 0.71, 0.18, 1, 0.92, 0.4784016
0.22, 0.1, 0.71, 0.18, 1, 0.93, 0.478757
0.22, 0.1, 0.71, 0.19, 1, 0.89, 0.4812686
0.22, 0.1, 0.71, 0.19, 1, 0.9, 0.4802857
0.22, 0.1, 0.71, 0.19, 1, 0.91, 0.4793033
0.22, 0.1, 0.71, 0.19, 1, 0.92, 0.4783238
0.22, 0.1, 0.71, 0.19, 1, 0.93, 0.4789945
0.22, 0.1, 0.71, 0.2, 1, 0.89, 0.4811821
0.22, 0.1, 0.71, 0.2, 1, 0.9, 0.480201
0.22, 0.1, 0.71, 0.2, 1, 0.91, 0.4792203
0.22, 0.1, 0.71, 0.2, 1, 0.92, 0.4782426
0.22, 0.1, 0.71, 0.2, 1, 0.93, 0.479244
0.22, 0.1, 0.72, 0.17, 1, 0.89, 0.4822706
