slope, srtm, tpi, twi, coarse, stream, hdist
0,0.7,0.3,0.3,0.7,0.4,0.5360746
0.1,0.7,0.3,0.3,0.7,0.4,0.5366275
0,0.7,0.2,0.3,0.7,0.4,0.5370125
0.2,0.7,0.3,0.3,0.7,0.4,0.5371615
0.1,0.7,0.2,0.3,0.7,0.4,0.5375348
0.3,0.7,0.3,0.3,0.7,0.4,0.5376756
0.2,0.7,0.2,0.3,0.7,0.4,0.5380365
0,0.7,0.1,0.3,0.7,0.4,0.5380404
0,0.7,0.3,0.2,0.7,0.4,0.5383622
0.3,0.7,0.2,0.3,0.7,0.4,0.5385252
0.1,0.7,0.1,0.3,0.7,0.4,0.5385313
0,0.7,0.3,0.3,0.8,0.4,0.5385758
0.1,0.7,0.3,0.2,0.7,0.4,0.5388419
0.2,0.7,0.1,0.3,0.7,0.4,0.5389991
0.1,0.7,0.3,0.3,0.8,0.4,0.5390083
0.2,0.7,0.3,0.2,0.7,0.4,0.5393065
0,0.7,0.2,0.2,0.7,0.4,0.5394277
0.2,0.7,0.3,0.3,0.8,0.4,0.5394303
0.3,0.7,0.1,0.3,0.7,0.4,0.5394536
0,0.7,0.2,0.3,0.8,0.4,0.5395594
0.3,0.7,0.3,0.2,0.7,0.4,0.5397593
0.3,0.7,0.3,0.3,0.8,0.4,0.5398395
0.1,0.7,0,0.3,0.7,0.4,0.5398579
0.1,0.7,0.2,0.2,0.7,0.4,0.5398716
0.1,0.7,0.2,0.3,0.8,0.4,0.5399605
0,0.8,0.3,0.3,0.7,0.4,0.5399667
0.2,0.7,0,0.3,0.7,0.4,0.5400582
0.2,0.7,0.2,0.2,0.7,0.4,0.5402973
0.1,0.8,0.3,0.3,0.7,0.4,0.5403457
0.2,0.7,0.2,0.3,0.8,0.4,0.5403468
0.3,0.7,0,0.3,0.7,0.4,0.5404739
0,0.7,0.1,0.2,0.7,0.4,0.5406023
0,0.7,0.1,0.3,0.8,0.4,0.5406313
0.3,0.7,0.2,0.2,0.7,0.4,0.5407145
0.2,0.8,0.3,0.3,0.7,0.4,0.5407146
0.3,0.7,0.2,0.3,0.8,0.4,0.5407261
0,0.7,0.3,0.1,0.7,0.4,0.5408301
0,0.7,0.3,0.2,0.8,0.4,0.5408336
0,0.7,0.3,0.3,0.9,0.4,0.5408461
0.1,0.7,0.1,0.3,0.8,0.4,0.5409968
0,0.8,0.2,0.3,0.7,0.4,0.5410013
0.1,0.7,0.1,0.2,0.7,0.4,0.5410049
0.3,0.8,0.3,0.3,0.7,0.4,0.5410774
0.1,0.7,0.3,0.3,0.9,0.4,0.5411786
0.1,0.7,0.3,0.2,0.8,0.4,0.5411944
0.1,0.7,0.3,0.1,0.7,0.4,0.5412246
0.1,0.8,0.2,0.3,0.7,0.4,0.5413447
0.2,0.7,0.1,0.3,0.8,0.4,0.5413485
0.2,0.7,0.1,0.2,0.7,0.4,0.5413886
0.2,0.7,0.3,0.3,0.9,0.4,0.5415036
0.2,0.7,0.3,0.2,0.8,0.4,0.5415474
0.2,0.7,0.3,0.1,0.7,0.4,0.5416164
0.2,0.8,0.2,0.3,0.7,0.4,0.5416783
0.3,0.7,0.1,0.3,0.8,0.4,0.541689
0.3,0.7,0.1,0.2,0.7,0.4,0.5417609
0,0.7,0,0.3,0.8,0.4,0.5418122
0.3,0.7,0.3,0.3,0.9,0.4,0.5418237
0,0.7,0.2,0.3,0.9,0.4,0.5418636
0,0.7,0,0.3,0.7,0.4,0.5418721
0.3,0.7,0.3,0.2,0.8,0.4,0.5418955
0,0.7,0,0.2,0.7,0.4,0.5419078
0,0.7,0.2,0.2,0.8,0.4,0.54194
0.3,0.7,0.3,0.1,0.7,0.4,0.5419964
0.3,0.8,0.2,0.3,0.7,0.4,0.5420065
0,0.7,0.2,0.1,0.7,0.4,0.5420433
0.1,0.7,0,0.3,0.8,0.4,0.5421293
0,0.8,0.1,0.3,0.7,0.4,0.5421308
0,0.8,0.3,0.3,0.8,0.4,0.5421593
0.1,0.7,0.2,0.3,0.9,0.4,0.5421631
0.1,0.7,0,0.2,0.7,0.4,0.5422458
0,0.8,0.3,0.2,0.7,0.4,0.5422605
0.1,0.7,0.2,0.2,0.8,0.4,0.5422613
0.1,0.7,0.2,0.1,0.7,0.4,0.5423883
0.1,0.8,0.1,0.3,0.7,0.4,0.5424338
0.2,0.7,0,0.3,0.8,0.4,0.5424416
0.1,0.8,0.3,0.3,0.8,0.4,0.5424439
0.2,0.7,0.2,0.3,0.9,0.4,0.5424515
0.1,0.8,0.3,0.2,0.7,0.4,0.5425649
0.2,0.7,0.2,0.2,0.8,0.4,0.5425719
0.2,0.7,0,0.2,0.7,0.4,0.5425842
0.2,0.8,0.3,0.3,0.8,0.4,0.5427218
0.2,0.7,0.2,0.1,0.7,0.4,0.5427279
0.2,0.8,0.1,0.3,0.7,0.4,0.5427296
0.3,0.7,0.2,0.3,0.9,0.4,0.542739
0.3,0.7,0,0.3,0.8,0.4,0.5427446
0.2,0.8,0.3,0.2,0.7,0.4,0.5428669
0.3,0.7,0.2,0.2,0.8,0.4,0.5428836
0.3,0.7,0,0.2,0.7,0.4,0.5429106
0,0.7,0.3,0.3,1,0.4,0.5429154
0,0.7,0.1,0.3,0.9,0.4,0.542966
0.3,0.8,0.3,0.3,0.8,0.4,0.5430002
0.3,0.8,0.1,0.3,0.7,0.4,0.5430178
0,0.7,0.3,0.2,0.9,0.4,0.5430667
0.3,0.7,0.2,0.1,0.7,0.4,0.5430693
0,0.7,0.1,0.2,0.8,0.4,0.5431504
0.1,0.7,0.3,0.3,1,0.4,0.5431623
0.3,0.8,0.3,0.2,0.7,0.4,0.5431664
0,0.8,0.2,0.3,0.8,0.4,0.5432222
0.1,0.7,0.1,0.3,0.9,0.4,0.5432284
0,0.7,0.3,0.1,0.8,0.4,0.5432557
0.1,0.7,0.3,0.2,0.9,0.4,0.5433285
0,0.8,0,0.3,0.7,0.4,0.5433744
0,0.7,0.1,0.1,0.7,0.4,0.5433836
0.2,0.7,0.3,0.3,1,0.4,0.543407
0,0.8,0.2,0.2,0.7,0.4,0.5434226
0.1,0.7,0.1,0.2,0.8,0.4,0.5434276
0.1,0.8,0.2,0.3,0.8,0.4,0.5434701
0,0.9,0.3,0.3,0.7,0.4,0.5434712
0.2,0.7,0.1,0.3,0.9,0.4,0.5434818
0,0.7,0.3,0,0.7,0.4,0.5434971
0.1,0.7,0.3,0.1,0.8,0.4,0.5435334
0.2,0.7,0.3,0.2,0.9,0.4,0.5435891
0.1,0.8,0,0.3,0.7,0.4,0.5436179
0.3,0.7,0.3,0.3,1,0.4,0.5436517
0.1,0.7,0.1,0.1,0.7,0.4,0.5436727
0.1,0.8,0.2,0.2,0.7,0.4,0.5436839
0.2,0.7,0.1,0.2,0.8,0.4,0.5436948
0.1,0.9,0.3,0.3,0.7,0.4,0.5437064
0.2,0.8,0.2,0.3,0.8,0.4,0.5437117
0.3,0.7,0.1,0.3,0.9,0.4,0.5437295
0.1,0.7,0.3,0,0.7,0.4,0.5437929
0.2,0.7,0.3,0.1,0.8,0.4,0.5438138
0.3,0.7,0.3,0.2,0.9,0.4,0.5438506
0.2,0.8,0,0.3,0.7,0.4,0.5438693
0.2,0.8,0.2,0.2,0.7,0.4,0.5439398
0.2,0.9,0.3,0.3,0.7,0.4,0.5439412
0.3,0.8,0.2,0.3,0.8,0.4,0.5439534
0.2,0.7,0.1,0.1,0.7,0.4,0.5439549
0.3,0.7,0.1,0.2,0.8,0.4,0.5439576
0,0.7,0.2,0.3,1,0.4,0.5439579
0.3,0.7,0.3,0.1,0.8,0.4,0.544092
0.2,0.7,0.3,0,0.7,0.4,0.544095
0.3,0.8,0,0.3,0.7,0.4,0.5441183
0,0.8,0.3,0.3,0.9,0.4,0.5441585
0.1,0.7,0.2,0.3,1,0.4,0.5441697
0,0.7,0,0.3,0.9,0.4,0.5441704
0.3,0.9,0.3,0.3,0.7,0.4,0.5441785
0.3,0.8,0.2,0.2,0.7,0.4,0.5441991
0,0.7,0.2,0.2,0.9,0.4,0.5442004
0.3,0.7,0.1,0.1,0.7,0.4,0.5442403
0.1,0.8,0.3,0.3,0.9,0.4,0.5443619
0,0.8,0.1,0.3,0.8,0.4,0.5443756
0.2,0.7,0.2,0.3,1,0.4,0.5443762
0.1,0.7,0,0.3,0.9,0.4,0.5443852
0.3,0.7,0.3,0,0.7,0.4,0.5443926
0,0.8,0.3,0.2,0.8,0.4,0.5444126
0.1,0.7,0.2,0.2,0.9,0.4,0.5444201
0,0.7,0,0.2,0.8,0.4,0.5444806
0,0.7,0.2,0.1,0.8,0.4,0.5444982
0.2,0.8,0.3,0.3,0.9,0.4,0.5445645
0,0.9,0.2,0.3,0.7,0.4,0.5445794
0.1,0.8,0.1,0.3,0.8,0.4,0.5445821
0.3,0.7,0.2,0.3,1,0.4,0.5445853
0.2,0.7,0,0.3,0.9,0.4,0.5445989
0.1,0.8,0.3,0.2,0.8,0.4,0.5446235
0.2,0.7,0.2,0.2,0.9,0.4,0.5446349
0,0.8,0.1,0.2,0.7,0.4,0.5446916
0.1,0.7,0,0.2,0.8,0.4,0.5446989
0,0.8,0.3,0.1,0.7,0.4,0.5447224
0.1,0.7,0.2,0.1,0.8,0.4,0.5447255
0.3,0.8,0.3,0.3,0.9,0.4,0.5447722
0.1,0.9,0.2,0.3,0.7,0.4,0.5447757
0.2,0.8,0.1,0.3,0.8,0.4,0.5447861
0.3,0.7,0,0.3,0.9,0.4,0.5448083
0.2,0.8,0.3,0.2,0.8,0.4,0.5448387
0.3,0.7,0.2,0.2,0.9,0.4,0.5448591
0,0.7,0.2,0,0.7,0.4,0.5448724
0,0.7,0,0.1,0.7,0.4,0.5448758
0.1,0.8,0.1,0.2,0.7,0.4,0.544903
0.2,0.7,0,0.2,0.8,0.4,0.5449166
0.1,0.8,0.3,0.1,0.7,0.4,0.5449439
0.2,0.7,0.2,0.1,0.8,0.4,0.5449543
0.2,0.9,0.2,0.3,0.7,0.4,0.544972
0.3,0.8,0.1,0.3,0.8,0.4,0.5449869
0.3,0.8,0.3,0.2,0.8,0.4,0.5450565
0,0.7,0.1,0.3,1,0.4,0.545081
0.1,0.7,0,0.1,0.7,0.4,0.5450836
0,0.7,0.3,0.2,1,0.4,0.545095
0.1,0.7,0.2,0,0.7,0.4,0.5451048
0.2,0.8,0.1,0.2,0.7,0.4,0.5451121
0.3,0.7,0,0.2,0.8,0.4,0.5451321
0.2,0.8,0.3,0.1,0.7,0.4,0.5451691
0.3,0.9,0.2,0.3,0.7,0.4,0.5451696
0.3,0.7,0.2,0.1,0.8,0.4,0.5451889
0,0.8,0.2,0.3,0.9,0.4,0.5452406
0.1,0.7,0.1,0.3,1,0.4,0.5452553
0.1,0.7,0.3,0.2,1,0.4,0.5452742
0.2,0.7,0,0.1,0.7,0.4,0.5453037
0.3,0.8,0.1,0.2,0.7,0.4,0.5453207
0.2,0.7,0.2,0,0.7,0.4,0.5453453
0.3,0.8,0.3,0.1,0.7,0.4,0.5453967
0,0.9,0.3,0.3,0.8,0.4,0.5454002
0.1,0.8,0.2,0.3,0.9,0.4,0.5454074
0.2,0.7,0.1,0.3,1,0.4,0.545426
0,0.7,0.1,0.2,0.9,0.4,0.5454328
0,0.7,0.3,0.1,0.9,0.4,0.545439
0.2,0.7,0.3,0.2,1,0.4,0.5454561
0.3,0.7,0,0.1,0.7,0.4,0.5455298
0.1,0.9,0.3,0.3,0.8,0.4,0.5455593
0.2,0.8,0.2,0.3,0.9,0.4,0.5455716
0.3,0.7,0.1,0.3,1,0.4,0.5455941
0.3,0.7,0.2,0,0.7,0.4,0.5455941
0,0.8,0.2,0.2,0.8,0.4,0.5455968
0.1,0.7,0.1,0.2,0.9,0.4,0.5456078
0,0.7,0.3,0.3,0.7,0.3,0.5456163
0.1,0.7,0.3,0.1,0.9,0.4,0.5456202
0,0.8,0,0.3,0.8,0.4,0.5456344
0.3,0.7,0.3,0.2,1,0.4,0.5456441
0.2,0.9,0.3,0.3,0.8,0.4,0.5457231
0.3,0.8,0.2,0.3,0.9,0.4,0.5457417
0,0.9,0.3,0.2,0.7,0.4,0.5457588
0.1,0.8,0.2,0.2,0.8,0.4,0.5457632
0.2,0.7,0.1,0.2,0.9,0.4,0.5457796
0,0.9,0.1,0.3,0.7,0.4,0.5457826
0.1,0.8,0,0.3,0.8,0.4,0.5457865
0.1,0.7,0.3,0.3,0.7,0.3,0.5458039
0.2,0.7,0.3,0.1,0.9,0.4,0.5458096
0,0.7,0.3,0,0.8,0.4,0.545859
0,0.7,0.1,0.1,0.8,0.4,0.545863
0.3,0.9,0.3,0.3,0.8,0.4,0.5458934
0.1,0.9,0.3,0.2,0.7,0.4,0.54592
0.2,0.8,0.2,0.2,0.8,0.4,0.5459294
0.1,0.9,0.1,0.3,0.7,0.4,0.545933
0.2,0.8,0,0.3,0.8,0.4,0.5459447
0.3,0.7,0.1,0.2,0.9,0.4,0.5459522
0,0.8,0.3,0.3,1,0.4,0.545989
0.2,0.7,0.3,0.3,0.7,0.3,0.5459986
0.3,0.7,0.3,0.1,0.9,0.4,0.5460038
0,0.8,0.2,0.1,0.7,0.4,0.546025
0.1,0.7,0.1,0.1,0.8,0.4,0.5460329
0.1,0.7,0.3,0,0.8,0.4,0.5460396
0.2,0.9,0.1,0.3,0.7,0.4,0.5460875
0.2,0.9,0.3,0.2,0.7,0.4,0.5460883
0,0.8,0,0.2,0.7,0.4,0.5460896
0.3,0.8,0,0.3,0.8,0.4,0.5461042
0.3,0.8,0.2,0.2,0.8,0.4,0.5461047
0.1,0.8,0.3,0.3,1,0.4,0.5461232
0.1,0.8,0.2,0.1,0.7,0.4,0.5461888
0.3,0.7,0.3,0.3,0.7,0.3,0.5461971
0.2,0.7,0.1,0.1,0.8,0.4,0.5462038
0.1,0.8,0,0.2,0.7,0.4,0.5462289
0.2,0.7,0.3,0,0.8,0.4,0.5462373
0.3,0.9,0.1,0.3,0.7,0.4,0.546242
0,0.7,0.2,0.2,1,0.4,0.5462438
0.3,0.9,0.3,0.2,0.7,0.4,0.5462608
0.2,0.8,0.3,0.3,1,0.4,0.5462618
0,0.7,0,0.3,1,0.4,0.5462994
0.2,0.8,0.2,0.1,0.7,0.4,0.5463587
0,0.8,0.3,0.2,0.9,0.4,0.546367
0.1,0.7,0.2,0.2,1,0.4,0.5463803
0.3,0.7,0.1,0.1,0.8,0.4,0.5463806
0.2,0.8,0,0.2,0.7,0.4,0.5463839
0,0.7,0.1,0,0.7,0.4,0.5464007
