slope, srtm, tpi, twi, coarse, stream, hdist
1.25,1,1,1,1,1,0.5460007
1.26,1,1,1,1,1,0.54602
1.24,1,1,1,1,1,0.5460288
1.23,1,1,1,1,1,0.546057
1.22,1,1,1,1,1,0.5460852
1.21,1,1,1,1,1,0.5461136
1.27,1,1,1,1,1,0.5461377
1.2,1,1,1,1,1,0.546142
1.19,1,1,1,1,1,0.5461706
1.18,1,1,1,1,1,0.5461993
1.17,1,1,1,1,1,0.546228
1.28,1,1,1,1,1,0.546255
1.16,1,1,1,1,1,0.5462569
1.15,1,1,1,1,1,0.5462858
1.14,1,1,1,1,1,0.5463148
1.13,1,1,1,1,1,0.546344
1.29,1,1,1,1,1,0.5463719
1.12,1,1,1,1,1,0.5463734
1.11,1,1,1,1,1,0.546403
1.1,1,1,1,1,1,0.5464328
1.09,1,1,1,1,1,0.5464627
1.3,1,1,1,1,1,0.5464883
1.08,1,1,1,1,1,0.5464928
1.07,1,1,1,1,1,0.5465229
1.06,1,1,1,1,1,0.5465532
1.05,1,1,1,1,1,0.5465835
1.31,1,1,1,1,1,0.5466045
1.04,1,1,1,1,1,0.546614
1.03,1,1,1,1,1,0.5466445
1.02,1,1,1,1,1,0.5466751
1.01,1,1,1,1,1,0.5467058
1.32,1,1,1,1,1,0.5467202
1,1,1,1,1,1,0.5467366
0.99,1,1,1,1,1,0.5467676
0.98,1,1,1,1,1,0.5467986
0.97,1,1,1,1,1,0.5468297
1.33,1,1,1,1,1,0.5468355
0.96,1,1,1,1,1,0.5468609
0.95,1,1,1,1,1,0.5468922
0.94,1,1,1,1,1,0.5469236
1.34,1,1,1,1,1,0.5469503
0.93,1,1,1,1,1,0.546955
0.92,1,1,1,1,1,0.5469866
0.91,1,1,1,1,1,0.5470184
0.9,1,1,1,1,1,0.5470504
1.35,1,1,1,1,1,0.5470648
0.89,1,1,1,1,1,0.5470826
0.88,1,1,1,1,1,0.5471151
0.87,1,1,1,1,1,0.5471476
1.36,1,1,1,1,1,0.5471789
0.86,1,1,1,1,1,0.5471802
0.85,1,1,1,1,1,0.5472129
0.84,1,1,1,1,1,0.5472457
0.83,1,1,1,1,1,0.5472787
1.37,1,1,1,1,1,0.5472928
0.82,1,1,1,1,1,0.5473118
0.81,1,1,1,1,1,0.547345
0.8,1,1,1,1,1,0.5473783
1.38,1,1,1,1,1,0.5474063
0.79,1,1,1,1,1,0.5474117
0.78,1,1,1,1,1,0.5474453
0.77,1,1,1,1,1,0.5474792
0.76,1,1,1,1,1,0.5475132
1.39,1,1,1,1,1,0.5475195
0.75,1,1,1,1,1,0.5475474
0.74,1,1,1,1,1,0.5475817
0.73,1,1,1,1,1,0.5476161
1.4,1,1,1,1,1,0.5476322
0.72,1,1,1,1,1,0.5476506
0.71,1,1,1,1,1,0.5476852
0.7,1,1,1,1,1,0.54772
1.41,1,1,1,1,1,0.5477446
0.69,1,1,1,1,1,0.5477551
0.68,1,1,1,1,1,0.5477904
0.67,1,1,1,1,1,0.5478258
1.42,1,1,1,1,1,0.5478566
0.66,1,1,1,1,1,0.5478613
0.65,1,1,1,1,1,0.547897
0.64,1,1,1,1,1,0.5479328
1.43,1,1,1,1,1,0.5479682
0.63,1,1,1,1,1,0.5479688
0.62,1,1,1,1,1,0.548005
0.61,1,1,1,1,1,0.5480414
0.6,1,1,1,1,1,0.5480779
1.44,1,1,1,1,1,0.5480794
0.59,1,1,1,1,1,0.5481145
0.58,1,1,1,1,1,0.5481513
0.57,1,1,1,1,1,0.5481881
1.45,1,1,1,1,1,0.5481902
0.56,1,1,1,1,1,0.5482251
0.55,1,1,1,1,1,0.5482622
0.54,1,1,1,1,1,0.5482994
1.46,1,1,1,1,1,0.5483005
0.53,1,1,1,1,1,0.5483368
0.52,1,1,1,1,1,0.5483743
1.47,1,1,1,1,1,0.5484105
0.51,1,1,1,1,1,0.5484121
0.5,1,1,1,1,1,0.5484501
0.49,1,1,1,1,1,0.5484881
1.48,1,1,1,1,1,0.5485201
0.48,1,1,1,1,1,0.5485263
0.47,1,1,1,1,1,0.5485646
0.46,1,1,1,1,1,0.548603
1.49,1,1,1,1,1,0.5486293
0.45,1,1,1,1,1,0.5486415
0.44,1,1,1,1,1,0.5486802
0.43,1,1,1,1,1,0.548719
1.5,1,1,1,1,1,0.5487382
0.42,1,1,1,1,1,0.5487579
0.41,1,1,1,1,1,0.548797
0.4,1,1,1,1,1,0.5488361
1.51,1,1,1,1,1,0.5488467
0.39,1,1,1,1,1,0.5488754
0.38,1,1,1,1,1,0.5489149
0.37,1,1,1,1,1,0.5489545
1.52,1,1,1,1,1,0.5489644
0.36,1,1,1,1,1,0.5489944
0.35,1,1,1,1,1,0.5490345
0.34,1,1,1,1,1,0.5490747
0.33,1,1,1,1,1,0.549115
0.32,1,1,1,1,1,0.5491555
0.31,1,1,1,1,1,0.5491961
0.3,1,1,1,1,1,0.549237
0.29,1,1,1,1,1,0.5492779
1.53,1,1,1,1,1,0.5492897
0.28,1,1,1,1,1,0.549319
0.27,1,1,1,1,1,0.5493603
0.26,1,1,1,1,1,0.5494016
0.25,1,1,1,1,1,0.5494431
0.24,1,1,1,1,1,0.5494848
0.23,1,1,1,1,1,0.5495267
0.22,1,1,1,1,1,0.549569
0.21,1,1,1,1,1,0.5496114
1.54,1,1,1,1,1,0.5496133
0.2,1,1,1,1,1,0.549654
0.19,1,1,1,1,1,0.5496968
0.18,1,1,1,1,1,0.5497397
0.17,1,1,1,1,1,0.5497828
0.16,1,1,1,1,1,0.5498261
0.15,1,1,1,1,1,0.5498695
0.14,1,1,1,1,1,0.5499131
1.55,1,1,1,1,1,0.5499353
0.13,1,1,1,1,1,0.5499569
0.12,1,1,1,1,1,0.5500008
0.11,1,1,1,1,1,0.5500449
0.1,1,1,1,1,1,0.5500892
0.09,1,1,1,1,1,0.5501339
0.08,1,1,1,1,1,0.5501787
0.07,1,1,1,1,1,0.5502237
1.56,1,1,1,1,1,0.5502556
0.06,1,1,1,1,1,0.5502688
0.05,1,1,1,1,1,0.5503142
0.04,1,1,1,1,1,0.5503597
0.03,1,1,1,1,1,0.5504054
0.02,1,1,1,1,1,0.5504514
0.01,1,1,1,1,1,0.5504975
0,1,1,1,1,1,0.5505438
1.57,1,1,1,1,1,0.5505743
1.58,1,1,1,1,1,0.5508914
1.59,1,1,1,1,1,0.5512068
1.6,1,1,1,1,1,0.5515205
1.61,1,1,1,1,1,0.5518327
1.62,1,1,1,1,1,0.5521432
1.63,1,1,1,1,1,0.5524521
1.64,1,1,1,1,1,0.5527594
1.65,1,1,1,1,1,0.5530653
1.66,1,1,1,1,1,0.5533696
1.67,1,1,1,1,1,0.5536724
1.68,1,1,1,1,1,0.5539737
1.69,1,1,1,1,1,0.5542735
1.7,1,1,1,1,1,0.5545717
1.71,1,1,1,1,1,0.5548684
1.72,1,1,1,1,1,0.5551636
1.73,1,1,1,1,1,0.5554573
1.74,1,1,1,1,1,0.5557495
1.75,1,1,1,1,1,0.5560403
1.76,1,1,1,1,1,0.5563296
1.77,1,1,1,1,1,0.5566175
1.78,1,1,1,1,1,0.556904
1.79,1,1,1,1,1,0.5571891
1.8,1,1,1,1,1,0.5574728
1.81,1,1,1,1,1,0.5577551
1.82,1,1,1,1,1,0.5580361
1.83,1,1,1,1,1,0.5583157
1.84,1,1,1,1,1,0.5585939
1.85,1,1,1,1,1,0.5588709
1.86,1,1,1,1,1,0.5591466
1.87,1,1,1,1,1,0.559421
1.88,1,1,1,1,1,0.5596941
1.89,1,1,1,1,1,0.5599659
1.9,1,1,1,1,1,0.5602365
1.91,1,1,1,1,1,0.5605059
1.92,1,1,1,1,1,0.5607741
1.93,1,1,1,1,1,0.5610409
1.94,1,1,1,1,1,0.5613065
1.95,1,1,1,1,1,0.5615708
1.96,1,1,1,1,1,0.5618338
1.97,1,1,1,1,1,0.5620955
1.98,1,1,1,1,1,0.5623561
1.99,1,1,1,1,1,0.5626154
2,1,1,1,1,1,0.5628735
2.01,1,1,1,1,1,0.5631305
2.02,1,1,1,1,1,0.5633862
2.03,1,1,1,1,1,0.5636407
2.04,1,1,1,1,1,0.563894
2.05,1,1,1,1,1,0.5641462
2.06,1,1,1,1,1,0.5643972
2.07,1,1,1,1,1,0.564647
2.08,1,1,1,1,1,0.5648957
2.09,1,1,1,1,1,0.5651432
2.1,1,1,1,1,1,0.5653896
2.11,1,1,1,1,1,0.5656349
2.12,1,1,1,1,1,0.565879
2.13,1,1,1,1,1,0.566122
2.14,1,1,1,1,1,0.5663639
2.15,1,1,1,1,1,0.5666046
2.16,1,1,1,1,1,0.5668443
2.17,1,1,1,1,1,0.5670829
2.18,1,1,1,1,1,0.5673204
2.19,1,1,1,1,1,0.5675569
2.2,1,1,1,1,1,0.5677923
2.21,1,1,1,1,1,0.5680266
2.22,1,1,1,1,1,0.5682599
2.23,1,1,1,1,1,0.5684922
2.24,1,1,1,1,1,0.5687234
2.25,1,1,1,1,1,0.5689536
2.26,1,1,1,1,1,0.5691827
2.27,1,1,1,1,1,0.5694109
2.28,1,1,1,1,1,0.5696381
2.29,1,1,1,1,1,0.5698643
2.3,1,1,1,1,1,0.5700895
2.31,1,1,1,1,1,0.5703137
2.32,1,1,1,1,1,0.5705368
2.33,1,1,1,1,1,0.570759
2.34,1,1,1,1,1,0.5709803
2.35,1,1,1,1,1,0.5712006
2.36,1,1,1,1,1,0.5714199
2.37,1,1,1,1,1,0.5716383
2.38,1,1,1,1,1,0.5718557
2.39,1,1,1,1,1,0.5720723
2.4,1,1,1,1,1,0.5722879
2.41,1,1,1,1,1,0.5725027
2.42,1,1,1,1,1,0.5727165
2.43,1,1,1,1,1,0.5729294
2.44,1,1,1,1,1,0.5731414
2.45,1,1,1,1,1,0.5733525
2.46,1,1,1,1,1,0.5735628
2.47,1,1,1,1,1,0.5737722
2.48,1,1,1,1,1,0.5739806
2.49,1,1,1,1,1,0.5741882
2.5,1,1,1,1,1,0.574395
2.51,1,1,1,1,1,0.5746008
2.52,1,1,1,1,1,0.5748058
2.53,1,1,1,1,1,0.5750099
2.54,1,1,1,1,1,0.5752132
2.55,1,1,1,1,1,0.5754156
2.56,1,1,1,1,1,0.5756172
2.57,1,1,1,1,1,0.5758179
2.58,1,1,1,1,1,0.5760178
2.59,1,1,1,1,1,0.5762169
2.6,1,1,1,1,1,0.5764151
2.61,1,1,1,1,1,0.5766125
2.62,1,1,1,1,1,0.5768091
2.63,1,1,1,1,1,0.5770049
2.64,1,1,1,1,1,0.5771998
2.65,1,1,1,1,1,0.577394
2.66,1,1,1,1,1,0.5775874
2.67,1,1,1,1,1,0.5777799
2.68,1,1,1,1,1,0.5779717
2.69,1,1,1,1,1,0.5781627
2.7,1,1,1,1,1,0.5783529
2.71,1,1,1,1,1,0.5785423
2.72,1,1,1,1,1,0.5787309
2.73,1,1,1,1,1,0.5789188
2.74,1,1,1,1,1,0.579106
2.75,1,1,1,1,1,0.5792924
2.76,1,1,1,1,1,0.5794781
2.77,1,1,1,1,1,0.5796631
2.78,1,1,1,1,1,0.5798473
2.79,1,1,1,1,1,0.5800308
2.8,1,1,1,1,1,0.5802135
2.81,1,1,1,1,1,0.5803956
2.82,1,1,1,1,1,0.5805769
2.83,1,1,1,1,1,0.5807575
2.84,1,1,1,1,1,0.5809374
2.85,1,1,1,1,1,0.5811166
2.86,1,1,1,1,1,0.581295
2.87,1,1,1,1,1,0.5814728
