slope, srtm, tpi, twi, coarse, stream, hdist
0.15,0.7,0.5,0.4,0.75,0.7,0.1887624
0.2,0.7,0.5,0.4,0.75,0.7,0.1873677
0.15,0.7,0.55,0.4,0.75,0.7,0.1865761
0.15,0.7,0.5,0.45,0.75,0.7,0.1861659
0.25,0.7,0.5,0.4,0.75,0.7,0.1855753
0.2,0.7,0.55,0.4,0.75,0.7,0.1851928
0.2,0.7,0.5,0.45,0.75,0.7,0.1847977
0.15,0.7,0.5,0.4,0.7,0.7,0.184408
0.15,0.7,0.55,0.45,0.75,0.7,0.1840389
0.15,0.7,0.6,0.4,0.75,0.7,0.184025
0.25,0.7,0.55,0.4,0.75,0.7,0.1834183
0.15,0.7,0.5,0.5,0.75,0.7,0.183242
0.25,0.7,0.5,0.45,0.75,0.7,0.1830426
0.2,0.7,0.5,0.4,0.7,0.7,0.1829833
0.2,0.7,0.55,0.45,0.75,0.7,0.182683
0.2,0.7,0.6,0.4,0.75,0.7,0.1826611
0.15,0.7,0.55,0.4,0.7,0.7,0.1821566
0.2,0.7,0.5,0.5,0.75,0.7,0.1819058
0.15,0.65,0.5,0.4,0.75,0.7,0.1817665
0.15,0.7,0.5,0.45,0.7,0.7,0.1817569
0.15,0.7,0.6,0.45,0.75,0.7,0.181562
0.15,0.7,0.55,0.5,0.75,0.7,0.1811843
0.25,0.7,0.5,0.4,0.7,0.7,0.1811542
0.15,0.7,0.65,0.4,0.75,0.7,0.1811239
0.25,0.7,0.55,0.45,0.75,0.7,0.1809459
0.25,0.7,0.6,0.4,0.75,0.7,0.1809143
0.2,0.7,0.55,0.4,0.7,0.7,0.1807456
0.15,0.7,0.5,0.4,0.75,0.75,0.180376
0.2,0.7,0.5,0.45,0.7,0.7,0.1803614
0.2,0.65,0.5,0.4,0.75,0.7,0.1803302
0.2,0.7,0.6,0.45,0.75,0.7,0.1802259
0.25,0.7,0.5,0.5,0.75,0.7,0.1801947
0.2,0.7,0.55,0.5,0.75,0.7,0.1798612
0.15,0.7,0.5,0.4,0.65,0.7,0.1798046
0.2,0.7,0.65,0.4,0.75,0.7,0.1797869
0.15,0.7,0.55,0.45,0.7,0.7,0.1795713
0.15,0.7,0.6,0.4,0.7,0.7,0.1795345
0.15,0.65,0.55,0.4,0.75,0.7,0.1795057
0.15,0.65,0.5,0.45,0.75,0.7,0.1791222
0.2,0.7,0.5,0.4,0.75,0.75,0.1790807
0.25,0.7,0.55,0.4,0.7,0.7,0.1789364
0.15,0.7,0.6,0.5,0.75,0.7,0.178793
0.15,0.7,0.5,0.5,0.7,0.7,0.1787761
0.15,0.7,0.65,0.45,0.75,0.7,0.1787496
0.25,0.7,0.5,0.45,0.7,0.7,0.1785721
0.25,0.7,0.6,0.45,0.75,0.7,0.1785157
0.25,0.65,0.5,0.4,0.75,0.7,0.1784902
0.15,0.7,0.55,0.4,0.75,0.75,0.1784264
0.2,0.7,0.5,0.4,0.65,0.7,0.1783565
0.2,0.7,0.55,0.45,0.7,0.7,0.1781899
0.25,0.7,0.55,0.5,0.75,0.7,0.1781678
0.2,0.7,0.6,0.4,0.7,0.7,0.1781449
0.2,0.65,0.55,0.4,0.75,0.7,0.1780852
0.25,0.7,0.65,0.4,0.75,0.7,0.1780765
0.15,0.7,0.5,0.45,0.75,0.75,0.1780043
0.2,0.65,0.5,0.45,0.75,0.7,0.1777165
0.15,0.7,0.55,0.4,0.65,0.7,0.1775014
0.2,0.7,0.6,0.5,0.75,0.7,0.177489
0.2,0.7,0.65,0.45,0.75,0.7,0.1774394
0.25,0.7,0.5,0.4,0.75,0.75,0.177418
0.2,0.7,0.5,0.5,0.7,0.7,0.177415
