slope, srtm, tpi, twi, coarse, stream, hdist
0.15, 0.6, 0.4, 0.6, 0.65, 0.75, 0.2056937
0.15, 0.6, 0.4, 0.6, 0.65, 0.76, 0.206114
0.15, 0.6, 0.4, 0.6, 0.65, 0.77, 0.2065392
0.15, 0.6, 0.4, 0.6, 0.65, 0.78, 0.206967
0.15, 0.6, 0.4, 0.6, 0.65, 0.79, 0.2073981
0.15, 0.6, 0.4, 0.6, 0.65, 0.8, 0.2078324
0.15, 0.6, 0.4, 0.6, 0.66, 0.75, 0.205278
0.15, 0.6, 0.4, 0.6, 0.66, 0.76, 0.205696
0.15, 0.6, 0.4, 0.6, 0.66, 0.77, 0.2061183
0.15, 0.6, 0.4, 0.6, 0.66, 0.78, 0.206545
0.15, 0.6, 0.4, 0.6, 0.66, 0.79, 0.2069743
0.15, 0.6, 0.4, 0.6, 0.66, 0.8, 0.2074068
0.15, 0.6, 0.4, 0.6, 0.67, 0.75, 0.2048651
0.15, 0.6, 0.4, 0.6, 0.67, 0.76, 0.2052819
0.15, 0.6, 0.4, 0.6, 0.67, 0.77, 0.2057024
0.15, 0.6, 0.4, 0.6, 0.67, 0.78, 0.2061267
0.15, 0.6, 0.4, 0.6, 0.67, 0.79, 0.2065544
0.15, 0.6, 0.4, 0.6, 0.67, 0.8, 0.2069853
0.15, 0.6, 0.4, 0.6, 0.68, 0.75, 0.2044555
0.15, 0.6, 0.4, 0.6, 0.68, 0.76, 0.2048708
0.15, 0.6, 0.4, 0.6, 0.68, 0.77, 0.2052898
0.15, 0.6, 0.4, 0.6, 0.68, 0.78, 0.2057121
0.15, 0.6, 0.4, 0.6, 0.68, 0.79, 0.2061383
0.15, 0.6, 0.4, 0.6, 0.68, 0.8, 0.2065674
0.15, 0.6, 0.4, 0.6, 0.69, 0.75, 0.2040497
0.15, 0.6, 0.4, 0.6, 0.69, 0.76, 0.2044636
0.15, 0.6, 0.4, 0.6, 0.69, 0.77, 0.2048811
0.15, 0.6, 0.4, 0.6, 0.69, 0.78, 0.2053015
0.15, 0.6, 0.4, 0.6, 0.69, 0.79, 0.205725
0.15, 0.6, 0.4, 0.6, 0.69, 0.8, 0.2061526
0.15, 0.6, 0.4, 0.6, 0.7, 0.75, 0.2036489
0.15, 0.6, 0.4, 0.6, 0.7, 0.76, 0.2040598
0.15, 0.6, 0.4, 0.6, 0.7, 0.77, 0.2044758
0.15, 0.6, 0.4, 0.6, 0.7, 0.78, 0.2048946
0.15, 0.6, 0.4, 0.6, 0.7, 0.79, 0.2053165
0.15, 0.6, 0.4, 0.6, 0.7, 0.8, 0.2057414
0.15, 0.6, 0.4, 0.61, 0.65, 0.75, 0.2062239
0.15, 0.6, 0.4, 0.61, 0.65, 0.76, 0.2066367
0.15, 0.6, 0.4, 0.61, 0.65, 0.77, 0.207053
0.15, 0.6, 0.4, 0.61, 0.65, 0.78, 0.2074722
0.15, 0.6, 0.4, 0.61, 0.65, 0.79, 0.2078949
0.15, 0.6, 0.4, 0.61, 0.65, 0.8, 0.2083222
0.15, 0.6, 0.4, 0.61, 0.66, 0.75, 0.205805
0.15, 0.6, 0.4, 0.61, 0.66, 0.76, 0.2062157
0.15, 0.6, 0.4, 0.61, 0.66, 0.77, 0.2066303
0.15, 0.6, 0.4, 0.61, 0.66, 0.78, 0.2070485
0.15, 0.6, 0.4, 0.61, 0.66, 0.79, 0.2074696
0.15, 0.6, 0.4, 0.61, 0.66, 0.8, 0.2078946
0.15, 0.6, 0.4, 0.61, 0.67, 0.75, 0.2053902
0.15, 0.6, 0.4, 0.61, 0.67, 0.76, 0.2057991
0.15, 0.6, 0.4, 0.61, 0.67, 0.77, 0.2062114
0.15, 0.6, 0.4, 0.61, 0.67, 0.78, 0.2066275
0.15, 0.6, 0.4, 0.61, 0.67, 0.79, 0.2070474
0.15, 0.6, 0.4, 0.61, 0.67, 0.8, 0.2074704
0.15, 0.6, 0.4, 0.61, 0.68, 0.75, 0.2049788
0.15, 0.6, 0.4, 0.61, 0.68, 0.76, 0.2053861
0.15, 0.6, 0.4, 0.61, 0.68, 0.77, 0.2057968
0.15, 0.6, 0.4, 0.61, 0.68, 0.78, 0.2062114
0.15, 0.6, 0.4, 0.61, 0.68, 0.79, 0.2066291
0.15, 0.6, 0.4, 0.61, 0.68, 0.8, 0.2070499
0.15, 0.6, 0.4, 0.61, 0.69, 0.75, 0.2045707
0.15, 0.6, 0.4, 0.61, 0.69, 0.76, 0.2049763
0.15, 0.6, 0.4, 0.61, 0.69, 0.77, 0.2053857
0.15, 0.6, 0.4, 0.61, 0.69, 0.78, 0.2057982
0.15, 0.6, 0.4, 0.61, 0.69, 0.79, 0.2062143
0.15, 0.6, 0.4, 0.61, 0.69, 0.8, 0.2066338
0.15, 0.6, 0.4, 0.61, 0.7, 0.75, 0.2041667
0.15, 0.6, 0.4, 0.61, 0.7, 0.76, 0.2045703
0.15, 0.6, 0.4, 0.61, 0.7, 0.77, 0.204978
0.15, 0.6, 0.4, 0.61, 0.7, 0.78, 0.2053891
0.15, 0.6, 0.4, 0.61, 0.7, 0.79, 0.205803
