slope, srtm, tpi, twi, coarse, stream, hdist
0.12,0.45,0.7,0.15,0.74,0.74,0.4981613
0.12,0.46,0.7,0.15,0.71,0.73,0.4982111
0.12,0.45,0.69,0.15,0.71,0.72,0.4982204
0.13,0.45,0.7,0.15,0.74,0.74,0.4982585
0.14,0.46,0.7,0.15,0.73,0.74,0.4982683
0.13,0.46,0.7,0.15,0.73,0.74,0.4982807
0.13,0.45,0.69,0.15,0.73,0.73,0.4982834
0.12,0.45,0.69,0.15,0.72,0.73,0.4982879
0.12,0.46,0.7,0.15,0.72,0.74,0.4982881
0.12,0.46,0.7,0.15,0.72,0.73,0.4982924
0.13,0.46,0.7,0.15,0.71,0.73,0.498309
0.12,0.46,0.7,0.15,0.73,0.74,0.4983138
0.12,0.45,0.69,0.15,0.73,0.73,0.4983139
0.12,0.45,0.7,0.15,0.73,0.73,0.4983152
0.15,0.46,0.7,0.15,0.74,0.75,0.4983275
0.14,0.46,0.7,0.15,0.74,0.75,0.4983306
0.14,0.45,0.69,0.15,0.74,0.74,0.4983311
0.13,0.46,0.7,0.15,0.72,0.74,0.4983379
0.15,0.45,0.69,0.15,0.74,0.74,0.4983379
0.12,0.46,0.7,0.15,0.74,0.74,0.4983394
0.13,0.45,0.69,0.15,0.72,0.73,0.4983484
0.13,0.46,0.7,0.15,0.74,0.75,0.4983633
0.13,0.45,0.69,0.15,0.74,0.74,0.4983641
0.12,0.45,0.7,0.15,0.72,0.73,0.4983662
0.13,0.46,0.7,0.15,0.73,0.75,0.4983665
0.12,0.46,0.7,0.15,0.73,0.75,0.4983714
0.12,0.45,0.69,0.15,0.73,0.74,0.4983721
0.13,0.45,0.69,0.15,0.73,0.74,0.4983772
0.12,0.45,0.7,0.15,0.73,0.74,0.4983948
0.12,0.46,0.7,0.15,0.74,0.75,0.4983966
0.12,0.45,0.69,0.15,0.74,0.74,0.4983976
0.13,0.45,0.69,0.15,0.74,0.75,0.4984215
0.16,0.46,0.7,0.15,0.74,0.75,0.4984228
0.12,0.45,0.7,0.15,0.74,0.75,0.4984232
0.14,0.46,0.7,0.15,0.72,0.74,0.4984344
0.13,0.45,0.69,0.15,0.71,0.72,0.498441
0.14,0.45,0.69,0.15,0.72,0.73,0.498446
0.12,0.45,0.69,0.15,0.74,0.75,0.4984551
0.15,0.47,0.7,0.15,0.71,0.74,0.4984592
0.15,0.46,0.69,0.15,0.71,0.73,0.4984609
0.14,0.46,0.7,0.15,0.73,0.75,0.4984622
0.14,0.45,0.69,0.15,0.73,0.74,0.498474
0.16,0.47,0.7,0.15,0.71,0.74,0.4984743
0.12,0.46,0.7,0.15,0.71,0.74,0.4984756
0.12,0.45,0.7,0.16,0.74,0.73,0.4984807
0.13,0.45,0.7,0.15,0.72,0.73,0.4984842
0.12,0.45,0.69,0.15,0.71,0.73,0.4984874
0.13,0.46,0.7,0.15,0.74,0.74,0.4984875
0.14,0.45,0.69,0.15,0.73,0.73,0.4984887
0.13,0.45,0.7,0.15,0.73,0.74,0.4984913
0.14,0.47,0.7,0.15,0.71,0.74,0.4984923
0.14,0.46,0.69,0.15,0.71,0.73,0.4984943
0.14,0.45,0.7,0.15,0.74,0.74,0.498495
0.14,0.45,0.68,0.15,0.71,0.72,0.4984965
0.13,0.46,0.7,0.15,0.72,0.73,0.4984973
0.14,0.45,0.69,0.15,0.74,0.75,0.4985017
0.12,0.47,0.7,0.15,0.71,0.73,0.4985029
0.12,0.46,0.7,0.15,0.72,0.75,0.4985036
0.12,0.45,0.69,0.15,0.74,0.73,0.4985058
0.16,0.47,0.7,0.15,0.72,0.75,0.4985073
0.16,0.46,0.69,0.15,0.72,0.74,0.4985135
0.12,0.45,0.69,0.15,0.72,0.74,0.4985156
0.12,0.45,0.69,0.15,0.72,0.72,0.4985159
0.14,0.47,0.7,0.15,0.72,0.74,0.4985171
0.13,0.45,0.7,0.15,0.74,0.75,0.4985188
0.16,0.45,0.68,0.15,0.72,0.73,0.4985259
0.13,0.47,0.7,0.15,0.71,0.74,0.498526
0.13,0.46,0.69,0.15,0.71,0.73,0.4985282
0.12,0.45,0.7,0.16,0.73,0.73,0.4985289
0.15,0.46,0.7,0.15,0.72,0.74,0.4985305
0.13,0.45,0.68,0.15,0.71,0.72,0.4985307
0.16,0.47,0.7,0.15,0.73,0.75,0.4985318
0.15,0.47,0.7,0.15,0.72,0.75,0.4985401
0.15,0.46,0.69,0.15,0.72,0.74,0.4985427
0.12,0.45,0.69,0.15,0.73,0.75,0.4985434
0.14,0.46,0.7,0.15,0.71,0.73,0.4985439
0.15,0.45,0.68,0.15,0.72,0.73,0.4985454
0.14,0.47,0.7,0.15,0.71,0.75,0.4985492
0.13,0.47,0.7,0.15,0.72,0.74,0.4985507
0.13,0.46,0.69,0.15,0.72,0.73,0.4985532
0.15,0.46,0.7,0.15,0.73,0.74,0.498554
0.14,0.46,0.69,0.15,0.71,0.74,0.4985545
0.12,0.45,0.7,0.16,0.74,0.74,0.4985561
0.15,0.46,0.7,0.15,0.73,0.75,0.4985574
0.13,0.46,0.7,0.16,0.72,0.73,0.4985591
0.12,0.47,0.7,0.15,0.71,0.74,0.4985602
0.12,0.46,0.69,0.15,0.71,0.73,0.4985627
0.15,0.47,0.7,0.15,0.73,0.75,0.4985646
0.12,0.45,0.68,0.15,0.71,0.72,0.4985654
0.14,0.45,0.68,0.15,0.71,0.73,0.4985673
0.15,0.46,0.69,0.15,0.73,0.74,0.4985675
0.12,0.45,0.7,0.15,0.74,0.73,0.4985682
0.15,0.45,0.69,0.15,0.73,0.74,0.4985702
0.13,0.46,0.7,0.15,0.71,0.74,0.4985719
0.14,0.47,0.7,0.15,0.72,0.75,0.4985735
0.14,0.46,0.69,0.15,0.72,0.74,0.4985763
0.14,0.45,0.68,0.15,0.72,0.73,0.4985793
