slope, srtm, tpi, twi, coarse, stream, hdist
0.18,0.9,0.22,0.06,0.98,0.1,0.1468168
0.17,0.9,0.22,0.06,0.98,0.1,0.1468172
0.19,0.9,0.22,0.06,0.98,0.1,0.1468193
0.2,0.9,0.22,0.06,0.98,0.1,0.1468236
0.17,0.9,0.23,0.06,0.98,0.1,0.1468296
0.21,0.9,0.22,0.06,0.98,0.1,0.1468299
0.18,0.9,0.23,0.06,0.98,0.1,0.1468308
0.18,0.9,0.22,0.06,0.99,0.1,0.1468316
0.17,0.9,0.22,0.06,0.99,0.1,0.1468323
0.19,0.9,0.22,0.06,0.99,0.1,0.1468338
0.19,0.9,0.23,0.06,0.98,0.1,0.1468342
0.22,0.9,0.22,0.06,0.98,0.1,0.1468379
0.2,0.9,0.22,0.06,0.99,0.1,0.146838
0.2,0.9,0.23,0.06,0.98,0.1,0.1468396
0.17,0.9,0.23,0.06,0.99,0.1,0.1468442
0.21,0.9,0.22,0.06,0.99,0.1,0.1468443
0.17,0.9,0.24,0.06,0.98,0.1,0.1468447
0.18,0.9,0.23,0.06,0.99,0.1,0.1468451
0.18,0.9,0.22,0.06,1,0.1,0.1468466
0.21,0.9,0.23,0.06,0.98,0.1,0.1468469
0.23,0.9,0.22,0.06,0.98,0.1,0.1468471
0.18,0.9,0.24,0.06,0.98,0.1,0.1468472
0.17,0.9,0.22,0.06,1,0.1,0.1468475
0.19,0.9,0.23,0.06,0.99,0.1,0.1468484
0.19,0.9,0.22,0.06,1,0.1,0.1468485
0.19,0.9,0.24,0.06,0.98,0.1,0.1468517
0.22,0.9,0.22,0.06,0.99,0.1,0.1468521
0.2,0.9,0.22,0.06,1,0.1,0.1468526
0.2,0.9,0.23,0.06,0.99,0.1,0.1468538
0.17,0.89,0.22,0.06,0.98,0.1,0.1468549
0.18,0.89,0.22,0.06,0.98,0.1,0.1468551
0.22,0.9,0.23,0.06,0.98,0.1,0.1468554
0.19,0.89,0.22,0.06,0.98,0.1,0.1468582
0.2,0.9,0.24,0.06,0.98,0.1,0.1468582
0.21,0.9,0.22,0.06,1,0.1,0.1468588
