slope, srtm, tpi, twi, coarse, stream, hdist
0.15,0.6,0.65,0.4,0.7,0.8,4940.341
0.2,0.6,0.65,0.4,0.7,0.8,4941.555
0.15,0.6,0.65,0.45,0.65,0.75,4942.286
0.2,0.6,0.65,0.45,0.65,0.75,4942.914
0.25,0.6,0.65,0.4,0.7,0.8,4944.015
0.15,0.6,0.65,0.4,0.65,0.75,4944.424
0.15,0.6,0.65,0.5,0.75,0.8,4945.6
0.25,0.6,0.65,0.45,0.65,0.75,4945.958
0.2,0.6,0.65,0.4,0.65,0.75,4946.039
0.15,0.65,0.65,0.4,0.65,0.8,4946.185
0.15,0.6,0.65,0.4,0.55,0.7,4946.749
0.2,0.6,0.65,0.5,0.75,0.8,4946.816
0.15,0.6,0.6,0.4,0.7,0.8,4946.979
0.2,0.65,0.65,0.4,0.65,0.8,4947.151
0.15,0.65,0.65,0.45,0.75,0.85,4947.539
0.2,0.6,0.6,0.4,0.7,0.8,4947.74
0.15,0.6,0.65,0.45,0.75,0.8,4948.054
0.2,0.65,0.65,0.45,0.75,0.85,4948.254
0.2,0.6,0.65,0.4,0.55,0.7,4948.752
0.2,0.65,0.65,0.5,0.7,0.8,4948.863
0.25,0.6,0.65,0.4,0.65,0.75,4949.118
0.15,0.6,0.65,0.5,0.7,0.75,4949.145
0.25,0.6,0.65,0.5,0.75,0.8,4949.157
0.2,0.6,0.65,0.45,0.75,0.8,4949.216
0.25,0.65,0.65,0.4,0.65,0.8,4949.293
0.15,0.6,0.6,0.4,0.65,0.75,4949.319
0.15,0.65,0.65,0.5,0.7,0.8,4949.695
0.15,0.6,0.65,0.45,0.6,0.7,4949.783
0.25,0.6,0.6,0.4,0.7,0.8,4949.791
0.25,0.65,0.65,0.45,0.75,0.85,4949.888
0.15,0.65,0.65,0.45,0.6,0.75,4950.112
0.2,0.6,0.6,0.4,0.55,0.7,4950.191
0.15,0.6,0.6,0.4,0.55,0.7,4950.372
0.2,0.6,0.6,0.4,0.65,0.75,4950.615
0.15,0.65,0.65,0.45,0.7,0.8,4950.701
0.2,0.6,0.65,0.5,0.7,0.75,4950.711
0.25,0.65,0.65,0.5,0.7,0.8,4950.971
0.2,0.65,0.65,0.45,0.6,0.75,4951.477
0.25,0.6,0.65,0.45,0.75,0.8,4951.487
0.15,0.6,0.65,0.45,0.7,0.75,4951.537
0.25,0.6,0.6,0.45,0.65,0.75,4951.626
0.2,0.65,0.65,0.45,0.7,0.8,4951.665
0.2,0.6,0.65,0.45,0.6,0.7,4951.748
0.15,0.65,0.65,0.4,0.75,0.85,4951.8
0.2,0.6,0.6,0.45,0.65,0.75,4951.959
0.15,0.6,0.65,0.4,0.75,0.8,4951.962
0.25,0.6,0.65,0.4,0.55,0.7,4952.36
0.2,0.65,0.65,0.4,0.75,0.85,4952.428
0.15,0.6,0.6,0.45,0.6,0.7,4952.662
0.25,0.6,0.65,0.4,0.75,0.85,4952.781
0.15,0.6,0.65,0.4,0.6,0.7,4953.035
0.2,0.6,0.65,0.45,0.7,0.75,4953.044
0.15,0.6,0.6,0.45,0.65,0.75,4953.079
0.2,0.6,0.65,0.4,0.75,0.8,4953.084
0.25,0.6,0.6,0.4,0.65,0.75,4953.303
0.2,0.6,0.65,0.4,0.75,0.85,4953.488
0.25,0.6,0.6,0.4,0.55,0.7,4953.519
0.15,0.65,0.6,0.4,0.65,0.8,4953.55
0.25,0.6,0.65,0.5,0.7,0.75,4953.556
0.25,0.65,0.65,0.45,0.7,0.8,4953.718
0.25,0.65,0.65,0.4,0.75,0.85,4953.958
0.25,0.65,0.65,0.45,0.6,0.75,4954.027
0.15,0.7,0.65,0.45,0.7,0.85,4954.032
0.15,0.65,0.65,0.4,0.6,0.75,4954.048
0.2,0.65,0.6,0.4,0.65,0.8,4954.095
0.2,0.6,0.6,0.45,0.6,0.7,4954.391
0.2,0.7,0.65,0.45,0.7,0.85,4954.488
0.15,0.6,0.65,0.4,0.75,0.85,4954.654
0.15,0.65,0.65,0.5,0.65,0.75,4954.654
0.2,0.6,0.65,0.4,0.6,0.7,4954.954
0.15,0.65,0.65,0.4,0.7,0.8,4955.034
0.15,0.6,0.6,0.5,0.7,0.75,4955.079
0.25,0.6,0.65,0.45,0.6,0.7,4955.198
0.25,0.6,0.65,0.4,0.75,0.8,4955.285
0.2,0.65,0.65,0.4,0.6,0.75,4955.307
0.15,0.6,0.65,0.4,0.7,0.75,4955.539
0.15,0.6,0.6,0.45,0.75,0.8,4955.583
0.25,0.6,0.6,0.5,0.75,0.8,4955.814
0.25,0.65,0.6,0.4,0.65,0.8,4955.822
0.25,0.7,0.65,0.45,0.7,0.85,4955.825
0.25,0.6,0.65,0.45,0.7,0.75,4955.831
0.2,0.65,0.65,0.4,0.7,0.8,4955.952
0.2,0.65,0.65,0.5,0.65,0.75,4955.994
0.2,0.6,0.6,0.5,0.75,0.8,4956.028
0.15,0.6,0.6,0.4,0.6,0.7,4956.151
0.2,0.6,0.6,0.5,0.7,0.75,4956.259
0.2,0.6,0.6,0.45,0.75,0.8,4956.446
0.15,0.6,0.65,0.5,0.65,0.7,4956.628
0.15,0.65,0.6,0.45,0.75,0.85,4956.68
0.2,0.65,0.6,0.45,0.6,0.75,4956.753
0.15,0.7,0.65,0.5,0.65,0.8,4956.975
0.2,0.6,0.65,0.4,0.7,0.75,4956.976
0.25,0.6,0.65,0.45,0.7,0.8,4957.01
0.2,0.65,0.6,0.45,0.75,0.85,4957.031
0.15,0.6,0.6,0.5,0.75,0.8,4957.241
0.2,0.6,0.65,0.45,0.7,0.8,4957.331
0.25,0.6,0.6,0.45,0.6,0.7,4957.527
0.15,0.65,0.65,0.45,0.65,0.75,4957.588
0.15,0.6,0.6,0.45,0.7,0.75,4957.623
0.2,0.7,0.65,0.5,0.65,0.8,4957.735
0.2,0.6,0.6,0.4,0.6,0.7,4957.785
0.25,0.65,0.65,0.4,0.6,0.75,4957.831
0.25,0.6,0.65,0.4,0.6,0.75,4957.848
0.25,0.65,0.65,0.4,0.7,0.85,4957.866
0.2,0.6,0.65,0.4,0.6,0.75,4957.873
