slope, srtm, tpi, twi, coarse, stream, hdist
0.15,0.6,0.65,0.4,0.7,0.8,0.1960453
0.2,0.6,0.65,0.4,0.7,0.8,0.1960935
0.15,0.6,0.65,0.45,0.65,0.75,0.1961225
0.2,0.6,0.65,0.45,0.65,0.75,0.1961474
0.25,0.6,0.65,0.4,0.7,0.8,0.1961911
0.15,0.6,0.65,0.4,0.65,0.75,0.1962073
0.15,0.6,0.65,0.5,0.75,0.8,0.196254
0.25,0.6,0.65,0.45,0.65,0.75,0.1962682
0.2,0.6,0.65,0.4,0.65,0.75,0.1962714
0.15,0.65,0.65,0.4,0.65,0.8,0.1962772
0.15,0.6,0.65,0.4,0.55,0.7,0.1962996
0.2,0.6,0.65,0.5,0.75,0.8,0.1963022
0.15,0.6,0.6,0.4,0.7,0.8,0.1963087
0.2,0.65,0.65,0.4,0.65,0.8,0.1963155
0.15,0.65,0.65,0.45,0.75,0.85,0.1963309
0.2,0.6,0.6,0.4,0.7,0.8,0.1963389
0.15,0.6,0.65,0.45,0.75,0.8,0.1963514
0.2,0.65,0.65,0.45,0.75,0.85,0.1963593
0.2,0.6,0.65,0.4,0.55,0.7,0.1963791
0.2,0.65,0.65,0.5,0.7,0.8,0.1963835
0.25,0.6,0.65,0.4,0.65,0.75,0.1963936
0.15,0.6,0.65,0.5,0.7,0.75,0.1963947
0.25,0.6,0.65,0.5,0.75,0.8,0.1963951
0.2,0.6,0.65,0.45,0.75,0.8,0.1963974
0.25,0.65,0.65,0.4,0.65,0.8,0.1964005
0.15,0.6,0.6,0.4,0.65,0.75,0.1964015
0.15,0.65,0.65,0.5,0.7,0.8,0.1964165
0.15,0.6,0.65,0.45,0.6,0.7,0.19642
0.25,0.6,0.6,0.4,0.7,0.8,0.1964203
0.25,0.65,0.65,0.45,0.75,0.85,0.1964241
0.15,0.65,0.65,0.45,0.6,0.75,0.196433
0.2,0.6,0.6,0.4,0.55,0.7,0.1964362
0.15,0.6,0.6,0.4,0.55,0.7,0.1964433
0.2,0.6,0.6,0.4,0.65,0.75,0.196453
0.15,0.65,0.65,0.45,0.7,0.8,0.1964564
0.2,0.6,0.65,0.5,0.7,0.75,0.1964568
0.25,0.65,0.65,0.5,0.7,0.8,0.1964671
0.2,0.65,0.65,0.45,0.6,0.75,0.1964872
0.25,0.6,0.65,0.45,0.75,0.8,0.1964876
0.15,0.6,0.65,0.45,0.7,0.75,0.1964896
0.25,0.6,0.6,0.45,0.65,0.75,0.1964931
0.2,0.65,0.65,0.45,0.7,0.8,0.1964947
0.2,0.6,0.65,0.45,0.6,0.7,0.1964979
0.15,0.65,0.65,0.4,0.75,0.85,0.1965
0.2,0.6,0.6,0.45,0.65,0.75,0.1965063
0.15,0.6,0.65,0.4,0.75,0.8,0.1965064
0.25,0.6,0.65,0.4,0.55,0.7,0.1965222
0.2,0.65,0.65,0.4,0.75,0.85,0.1965249
0.15,0.6,0.6,0.45,0.6,0.7,0.1965342
0.25,0.6,0.65,0.4,0.75,0.85,0.1965389
0.15,0.6,0.65,0.4,0.6,0.7,0.196549
0.2,0.6,0.65,0.45,0.7,0.75,0.1965494
0.15,0.6,0.6,0.45,0.65,0.75,0.1965508
0.2,0.6,0.65,0.4,0.75,0.8,0.1965509
0.25,0.6,0.6,0.4,0.65,0.75,0.1965597
0.2,0.6,0.65,0.4,0.75,0.85,0.196567
0.25,0.6,0.6,0.4,0.55,0.7,0.1965682
0.15,0.65,0.6,0.4,0.65,0.8,0.1965694
0.25,0.6,0.65,0.5,0.7,0.75,0.1965697
0.25,0.65,0.65,0.45,0.7,0.8,0.1965761
0.25,0.65,0.65,0.4,0.75,0.85,0.1965856
0.25,0.65,0.65,0.45,0.6,0.75,0.1965884
0.15,0.7,0.65,0.45,0.7,0.85,0.1965886
0.15,0.65,0.65,0.4,0.6,0.75,0.1965892
0.2,0.65,0.6,0.4,0.65,0.8,0.1965911
0.2,0.6,0.6,0.45,0.6,0.7,0.1966028
0.2,0.7,0.65,0.45,0.7,0.85,0.1966066
0.15,0.65,0.65,0.5,0.65,0.75,0.1966132
0.15,0.6,0.65,0.4,0.75,0.85,0.1966133
0.2,0.6,0.65,0.4,0.6,0.7,0.1966252
0.15,0.65,0.65,0.4,0.7,0.8,0.1966283
0.15,0.6,0.6,0.5,0.7,0.75,0.1966301
0.25,0.6,0.65,0.45,0.6,0.7,0.1966348
0.25,0.6,0.65,0.4,0.75,0.8,0.1966383
0.2,0.65,0.65,0.4,0.6,0.75,0.1966392
0.15,0.6,0.65,0.4,0.7,0.75,0.1966484
0.15,0.6,0.6,0.45,0.75,0.8,0.1966501
0.25,0.6,0.6,0.5,0.75,0.8,0.1966593
0.25,0.65,0.6,0.4,0.65,0.8,0.1966596
0.25,0.7,0.65,0.45,0.7,0.85,0.1966597
0.25,0.6,0.65,0.45,0.7,0.75,0.1966599
0.2,0.65,0.65,0.4,0.7,0.8,0.1966648
0.2,0.65,0.65,0.5,0.65,0.75,0.1966664
0.2,0.6,0.6,0.5,0.75,0.8,0.1966678
0.15,0.6,0.6,0.4,0.6,0.7,0.1966727
0.2,0.6,0.6,0.5,0.7,0.75,0.1966769
0.2,0.6,0.6,0.45,0.75,0.8,0.1966844
0.15,0.6,0.65,0.5,0.65,0.7,0.1966916
0.15,0.65,0.6,0.45,0.75,0.85,0.1966936
0.2,0.65,0.6,0.45,0.6,0.75,0.1966965
0.15,0.7,0.65,0.5,0.65,0.8,0.1967053
0.2,0.6,0.65,0.4,0.7,0.75,0.1967054
0.25,0.6,0.65,0.45,0.7,0.8,0.1967067
0.2,0.65,0.6,0.45,0.75,0.85,0.1967076
0.15,0.6,0.6,0.5,0.75,0.8,0.1967159
0.2,0.6,0.65,0.45,0.7,0.8,0.1967195
0.25,0.6,0.6,0.45,0.6,0.7,0.1967273
0.15,0.65,0.65,0.45,0.65,0.75,0.1967297
0.15,0.6,0.6,0.45,0.7,0.75,0.1967311
0.2,0.7,0.65,0.5,0.65,0.8,0.1967355
0.2,0.6,0.6,0.4,0.6,0.7,0.1967375
0.25,0.65,0.65,0.4,0.6,0.75,0.1967393
0.25,0.6,0.65,0.4,0.6,0.75,0.19674
0.25,0.65,0.65,0.4,0.7,0.85,0.1967407
0.2,0.6,0.65,0.4,0.6,0.75,0.196741
0.25,0.65,0.65,0.4,0.7,0.8,0.1967438
0.15,0.65,0.6,0.45,0.6,0.75,0.1967504
0.25,0.65,0.6,0.45,0.75,0.85,0.1967564
0.15,0.6,0.65,0.45,0.7,0.8,0.196757
0.25,0.6,0.6,0.45,0.75,0.8,0.1967587
0.15,0.6,0.55,0.4,0.65,0.75,0.1967611
0.25,0.65,0.65,0.5,0.65,0.75,0.1967644
0.25,0.6,0.65,0.4,0.6,0.7,0.1967651
0.2,0.6,0.65,0.5,0.65,0.7,0.1967671
0.15,0.65,0.65,0.5,0.75,0.8,0.1967741
0.15,0.6,0.65,0.4,0.6,0.75,0.1967749
0.15,0.65,0.6,0.45,0.7,0.8,0.1967763
0.25,0.6,0.6,0.5,0.7,0.75,0.1967764
0.15,0.7,0.65,0.4,0.7,0.85,0.1967774
0.2,0.6,0.6,0.45,0.7,0.75,0.1967778
0.2,0.65,0.65,0.45,0.65,0.75,0.1967801
0.2,0.65,0.65,0.4,0.7,0.85,0.1967805
0.15,0.6,0.65,0.45,0.65,0.7,0.1967846
0.25,0.65,0.6,0.45,0.6,0.75,0.1967858
0.2,0.7,0.65,0.4,0.7,0.85,0.1967911
0.2,0.6,0.55,0.4,0.65,0.75,0.196792
0.2,0.65,0.6,0.45,0.7,0.8,0.1968007
0.25,0.6,0.55,0.4,0.7,0.8,0.1968009
0.15,0.7,0.65,0.4,0.6,0.8,0.1968011
0.15,0.7,0.65,0.5,0.75,0.85,0.1968021
0.25,0.7,0.65,0.5,0.65,0.8,0.196805
0.2,0.65,0.65,0.5,0.75,0.8,0.1968112
0.25,0.6,0.65,0.4,0.7,0.75,0.1968123
0.15,0.6,0.55,0.45,0.6,0.7,0.1968185
0.15,0.6,0.6,0.4,0.75,0.8,0.1968214
0.2,0.7,0.65,0.5,0.75,0.85,0.1968219
0.2,0.7,0.65,0.4,0.6,0.8,0.1968239
0.15,0.65,0.6,0.4,0.6,0.75,0.1968255
0.15,0.65,0.65,0.4,0.7,0.85,0.1968387
0.25,0.7,0.65,0.4,0.7,0.85,0.1968395
0.25,0.65,0.6,0.5,0.7,0.8,0.1968402
0.15,0.7,0.65,0.45,0.65,0.8,0.1968481
0.2,0.6,0.65,0.5,0.6,0.7,0.1968499
0.2,0.6,0.6,0.4,0.75,0.8,0.1968519
0.25,0.65,0.65,0.4,0.55,0.75,0.196854
0.2,0.6,0.65,0.45,0.65,0.7,0.196858
0.2,0.6,0.55,0.4,0.7,0.8,0.1968586
0.2,0.65,0.6,0.4,0.6,0.75,0.1968595
0.15,0.6,0.6,0.5,0.65,0.7,0.1968614
0.25,0.6,0.65,0.5,0.6,0.7,0.1968621
0.25,0.6,0.6,0.4,0.6,0.7,0.196864
0.25,0.65,0.6,0.45,0.7,0.8,0.1968646
0.2,0.6,0.55,0.45,0.6,0.7,0.1968677
0.25,0.6,0.55,0.4,0.55,0.7,0.1968678
0.15,0.6,0.65,0.5,0.6,0.7,0.1968682
0.25,0.7,0.65,0.5,0.75,0.85,0.1968696
0.15,0.65,0.6,0.5,0.65,0.75,0.1968713
0.25,0.6,0.6,0.45,0.7,0.75,0.1968743
0.2,0.65,0.65,0.4,0.55,0.75,0.1968749
0.2,0.7,0.65,0.45,0.65,0.8,0.1968754
0.25,0.65,0.65,0.45,0.65,0.75,0.196877
0.25,0.6,0.55,0.4,0.65,0.75,0.1968776
0.2,0.65,0.6,0.5,0.7,0.8,0.1968823
0.25,0.65,0.65,0.45,0.65,0.8,0.1968828
0.25,0.65,0.65,0.5,0.75,0.8,0.1968862
0.15,0.65,0.6,0.4,0.75,0.85,0.1968884
0.25,0.7,0.65,0.4,0.6,0.8,0.1968914
0.25,0.6,0.65,0.5,0.65,0.7,0.1968942
0.2,0.6,0.55,0.4,0.55,0.7,0.1968954
0.2,0.65,0.6,0.4,0.75,0.85,0.1968965
0.15,0.6,0.65,0.5,0.75,0.75,0.1968982
0.15,0.6,0.6,0.4,0.7,0.75,0.1969008
0.2,0.65,0.6,0.5,0.65,0.75,0.1969084
0.2,0.65,0.65,0.45,0.65,0.8,0.1969099
0.15,0.65,0.65,0.4,0.65,0.75,0.1969105
0.15,0.65,0.65,0.45,0.75,0.8,0.1969165
0.25,0.7,0.65,0.4,0.65,0.85,0.1969214
0.15,0.65,0.65,0.45,0.55,0.7,0.1969231
0.15,0.65,0.65,0.4,0.55,0.75,0.1969234
0.25,0.6,0.6,0.4,0.75,0.8,0.1969234
0.2,0.6,0.6,0.5,0.65,0.7,0.1969235
0.15,0.6,0.55,0.4,0.7,0.8,0.1969348
0.25,0.65,0.6,0.4,0.75,0.85,0.19694
0.15,0.65,0.6,0.5,0.7,0.8,0.1969409
0.25,0.7,0.65,0.45,0.65,0.8,0.1969411
0.2,0.65,0.65,0.5,0.55,0.7,0.1969443
0.2,0.6,0.6,0.4,0.7,0.75,0.1969459
0.25,0.65,0.6,0.4,0.6,0.75,0.1969464
0.15,0.6,0.65,0.4,0.65,0.7,0.1969487
